e,n,d
72.54580412096907,72.54582782857149,2260
72.74039534075477,72.74041911194863,2261
72.93526185205168,72.93528568692692,2262
73.13040373723732,73.13042763588393,2263
73.32582107884035,73.32584504134837,2264
73.52151395953673,73.5215379859962,2265
73.71748246215546,73.71750655265645,2266
73.9137266696728,73.9137508243054,2267
74.11024666521519,74.11027088406954,2268
74.30704253206117,74.30706681522742,2269
74.50411435363816,74.50413870120647,2270
74.70146221352502,74.70148662558562,2271
74.8990861954511,74.89911067209421,2272
75.09698638329753,75.09701092461343,2273
75.29516286109562,75.29518746717459,2274
75.49361571302939,75.49364038396175,2275
75.69234502343367,75.69236975930977,2276
75.89135087679541,75.89137567770562,2277
76.09063335775335,76.09065822378805,2278
76.29019255109921,76.29021748234887,2279
76.4900285417772,76.49005353833225,2280
76.69014141488297,76.6901664768339,2281
76.89053125566555,76.89055638310286,2282
77.09119814952861,77.09122334254285,2283
77.29214218202698,77.29216744070871,2284
77.49336343886982,77.49338876330964,2285
77.69486200591936,77.6948873962079,2286
77.89663796919348,77.89666342542138,2287
78.09869141486115,78.0987169371191,2288
78.30102242924893,78.30104801762764,2289
78.50363109883611,78.50365675342631,2290
78.70651751025602,78.70654323114846,2291
78.9096817502976,78.90970753758307,2292
79.11312390590572,79.11314975967508,2293
79.3168440641784,79.31686998452248,2294
79.52084231237274,79.52086829938241,2295
79.72511873789702,79.7251447916632,2296
79.92967342831962,79.92969954893324,2297
80.13450647136169,80.13453265891371,2298
80.33961795490256,80.33964420948398,2299
80.54500796697722,80.54503428867906,2300
80.75067659577915,80.75070298469247,2301
80.95662392965687,80.95665038587273,2302
81.16285005711576,81.16287658072528,2303
81.36935506682107,81.36938165791538,2304
81.57613904759202,81.57616570626229,2305
81.78320208840961,81.78322881474703,2306
81.99054427840981,81.99057107250563,2307
82.19816570688812,82.19819256883356,2308
82.4060664632985,82.40609339318486,2309
82.61424663725252,82.6142736351711,2310
82.82270631852155,82.82273338456372,2311
83.03144559703614,83.03147273129323,2312
83.24046456288566,83.24049176544911,2313
83.44976330631901,83.44979057728023,2314
83.65934191774487,83.65936925719532,2315
83.86920048773207,83.86922789576325,2316
84.07933910700861,84.07936658371202,2317
84.28975786646485,84.28978541193206,2318
84.50045685714974,84.5004844714723,2319
84.71143617027357,84.71146385354311,2320
84.92269589720875,84.92272364951691,2321
85.13423612948685,85.13426395092527,2322
85.3460569588034,85.34608484946381,2323
85.55815847701346,85.55818643698758,2324
85.7705407761348,85.77056880551437,2325
85.98320394834785,85.98323204722467,2326
86.19614808599451,86.19617625446041,2327
86.40937328157936,86.40940151972617,2328
86.62287962777066,86.62290793569026,2329
86.83666721739809,86.8366955951824,2330
87.05073614345693,87.05076459119789,2331
87.26508649910323,87.2651150168928,2332
87.47971837765834,87.47974696558853,2333
87.69463187260695,87.69466053076977,2334
87.90982707759899,87.90985580608653,2335
88.12530408644686,88.12533288535118,2336
88.34106299312911,88.34109186254237,2337
88.55710389178836,88.55713283180269,2338
88.77342687673278,88.77345588744038,2339
88.99003204243522,88.99006112392829,2340
89.20691948353375,89.20694863590454,2341
89.42408929483435,89.42411851817512,2342
89.64154157130599,89.64157086570907,2343
89.85927640808583,89.85930577364356,2344
90.07729390047663,90.07732333728137,2345
